"","SID","yearCount","COR","von_datum","bis_datum","Statationshoehe","longitude","latitude","Stationsname","Bundesland","Lage"
"101",2947,52,-0.0800771363316302,19620401,20150422,286,51.1334,8.0352,"Lennestadt-Theten","Nordrhein-Westfalen","W"
"102",5397,66,-0.0816162636014242,19470101,20150422,440,49.6663,12.1845,"Weiden","Bayern","S"
"103",979,67,-0.0822643346822732,19470801,20150422,314,50.7313,8.2622,"Dillenburg","Hessen","W"
"104",3167,51,-0.0826283949414188,19621201,20150422,547,50.662,7.9602,"Marienberg, Bad","Rheinland-Pfalz","W"
"105",480,61,-0.0837039542780444,19450101,20061231,349,50.9198,8.5268,"Biedenkopf","Hessen","W"
"106",2092,38,-0.0839136379754018,19520201,19901231,496,50.1691,7.9949,"Heidenrod-Mappershain","Hessen","W"
"107",817,60,-0.0856001991608957,19521001,20150422,293,51.0306,8.8146,"Burgwald-Bottendorf","Hessen","W"
"108",1748,61,-0.0861136904804006,19360101,20050331,608,50.4788,9.262,"Grebenhain-Herchenhain","Hessen","W"
"109",5802,56,-0.0873668626792447,19480101,20030930,615,49.0007,13.2137,"Zwieselberg","Bayern","S"
"110",4445,40,-0.0876478601314401,19470101,20150422,609,51.7658,10.6533,"Wernigerode-Schierke","Sachsen-Anhalt","O"
"111",4240,44,-0.0889854766975267,19480101,19920930,440,50.6407,6.2058,"Roetgen","Nordrhein-Westfalen","W"
"112",2074,67,-0.090023429891471,19470101,20150422,522,48.3751,8.9801,"Hechingen","Baden-Württemberg","S"
"113",736,50,-0.0905861063703989,19470101,19991231,390,49.6303,7.1148,"Brücken","Rheinland-Pfalz","W"
"114",5568,50,-0.0909616730862543,19470101,20010331,310,51.1056,9.1081,"Wildungen, Bad","Hessen","W"
"115",3,76,-0.0916221523909976,18910101,20110331,202,50.7827,6.0941,"Aachen","Nordrhein-Westfalen","W"
"116",1468,64,-0.0936781575395773,19490101,20150422,797,48.4537,8.4091,"Freudenstadt","Baden-Württemberg","S"
"117",5306,32,-0.0967336952747633,19711201,20031231,940,48.9293,13.4641,"Waldhäuser (National Park)","Bayern","S"
"118",2483,60,-0.0994502254494726,19550101,20150422,839,51.1803,8.4891,"Kahler Asten","Nordrhein-Westfalen","W"
"119",5440,77,-0.101286901353677,19360101,20150422,439,49.0114,10.9319,"Weißenburg-Emetzheim","Bayern","S"
"120",953,51,-0.102414892318183,19500801,20150422,481,49.7619,7.0541,"Deuselbach","Rheinland-Pfalz","W"
"121",5155,58,-0.102582239661983,19440101,20140831,567,48.3837,9.9524,"Ulm","Baden-Württemberg","S"
"122",1964,60,-0.105553521139096,19520101,20150422,328,49.9445,6.3821,"Olsdorf","Rheinland-Pfalz","W"
"123",1550,77,-0.105749905475064,19360101,20150422,719,47.4831,11.0623,"Garmisch-Partenkirchen","Bayern","S"
"124",2761,40,-0.106190198335559,19510101,19901031,520,48.251,10.4163,"Krumbach-Edenhausen","Bayern","S"
"125",2260,57,-0.107897020122388,19490101,20061231,474,50.323,11.9077,"Hof (Stadt)","Bayern","S"
"126",3390,49,-0.108115950835628,19400101,19920516,529,48.1369,11.7094,"München-Riem","Bayern","S"
"127",2654,34,-0.109474666119226,19490101,19831031,200,49.0265,8.7554,"Knittlingen","Baden-Württemberg","S"
"128",132,34,-0.109535646947604,19531211,19870930,750,49.7725,12.3891,"Altglashütte","Bayern","S"
"129",867,60,-0.110997541548928,19470101,20150422,345,50.3067,10.968,"Lautertal-Oberlauter","Bayern","S"
"130",231,38,-0.112050439204421,19010101,19740430,490,48.3723,10.8948,"Augsburg (Sankt Stephan)","Bayern","S"
"131",5075,33,-0.112955821106107,19711001,20040630,635,47.8516,12.6182,"Traunstein-Axdorf","Bayern","S"
"132",2151,45,-0.11439341192521,19470101,19910831,215,51.0048,10.1705,"Herleshausen","Hessen","W"
"133",1735,57,-0.116104085112957,19570501,20150422,628,48.7893,13.6291,"Grainet-Rehberg","Bayern","S"
"134",3875,65,-0.118723517925095,19500101,20150422,549,49.1509,11.6897,"Parsberg/Oberpfalz-Eglwang","Bayern","S"
