6,3,0.5,48.25,8.6333,Epfendorf-Butschhof,Baden-Württemberg,S
88,44,0.5,51.5823,11.5,Klostermansfeld,Sachsen-Anhalt,O
6,3,0.5,50.8385,6.444,Düren-Merken,Nordrhein-Westfalen,W
2,1,0.5,52.6833,10.3833,Metzingen bei Eldingen,Niedersachsen,N
6,3,0.5,49.5692,10.9929,Erlangen-Bruck,Bayern,S
4,2,0.5,50.4667,10.0,Heidelstein/Rhön,Bayern,S
24,12,0.5,51.312,14.0496,Schönteichen-Cunnersdorf,Sachsen,O
4,2,0.5,50.0102,6.8376,Minderlittgen,Rheinland-Pfalz,W
4,2,0.5,52.2835,13.2115,Siethen,Brandenburg,O
2,1,0.5,50.8667,12.5833,Waldenburg,Sachsen,O
10,5,0.5,53.102,13.0421,Menz,Brandenburg,O
2,1,0.5,49.35,10.5167,Lehrberg,Bayern,S
2,1,0.5,47.8977,7.948,Oberried-Sankt Wilhelm (Forsthaus ),Baden-Württemberg,S
10,5,0.5,49.0333,8.3333,Karlsruhe-Knielingen,Baden-Württemberg,S
16,8,0.5,49.6567,8.7144,Heppenheim-Mittershausen,Hessen,W
8,4,0.5,51.504,9.1118,Warburg,Nordrhein-Westfalen,W
10,5,0.5,52.5,10.4167,Müden/Aller-Ettenbüttel,Niedersachsen,N
14,7,0.5,48.9721,8.8734,Mühlacker,Baden-Württemberg,S
6,3,0.5,50.3041,7.31,Polch (WWV RLP),Rheinland-Pfalz,W
8,4,0.5,53.5598,9.9874,Hamburg-Botanischer Garten,Hamburg,N
4,2,0.5,49.3261,11.012,Schwabach (A),Bayern,S
10,5,0.5,50.5167,10.0667,Rhönhof,Bayern,S
10,5,0.5,53.4699,10.1804,Hamburg-Reitbrook,Hamburg,N
2,1,0.5,53.3,9.8,Sprötze,Niedersachsen,N
6,3,0.5,50.0935,7.5673,Lingerhahn (WWV RLP),Rheinland-Pfalz,W
107,53,0.4953271028037383,54.4217,13.4382,Bergen/Rügen,Mecklenburg-Vorpommern,O
69,34,0.4927536231884058,48.2851,8.5754,Oberndorf/Neckar,Baden-Württemberg,S
128,63,0.4921875,51.2673,13.8468,Laußnitz-Glauschnitz,Sachsen,O
63,31,0.49206349206349204,50.8521,14.6898,"Jonsdorf, Kurort",Sachsen,O
112,55,0.49107142857142855,48.9662,13.1426,Regen,Bayern,S
43,21,0.4883720930232558,52.9335,8.237,Großenkneten,Niedersachsen,N
62,30,0.4838709677419355,51.7901,10.9714,Blankenburg/Harz,Sachsen-Anhalt,O
83,40,0.4819277108433735,54.4752,9.0564,Husum,Schleswig-Holstein,N
54,26,0.48148148148148145,51.0263,14.9359,Ostritz,Sachsen,O
46,22,0.4782608695652174,52.5233,11.1289,Köckte,Sachsen-Anhalt,O
23,11,0.4782608695652174,51.4879,9.4742,Hofgeismar-Hombressen,Hessen,W
46,22,0.4782608695652174,53.1477,12.0853,Kuhbier,Brandenburg,O
21,10,0.47619047619047616,48.2166,11.2965,Maisach-Gernlinden,Bayern,S
108,51,0.4722222222222222,49.1198,13.1987,Bayerisch Eisenstein,Bayern,S
17,8,0.47058823529411764,49.5033,7.2773,Osterhof,Saarland,W
83,39,0.46987951807228917,51.2428,8.9714,Waldeck-Alraft,Hessen,W
77,36,0.4675324675324675,50.8513,12.1877,Ronneburg,Thüringen,O
107,50,0.4672897196261682,50.396,10.5323,Römhild,Thüringen,O
15,7,0.4666666666666667,49.6978,6.7182,Gusterath,Rheinland-Pfalz,W
73,34,0.4657534246575342,51.9755,8.2094,Harsewinkel,Nordrhein-Westfalen,W
43,20,0.46511627906976744,49.049,7.756,Hirschthal,Rheinland-Pfalz,W
41,19,0.4634146341463415,51.309,12.1718,Markranstädt-Großlehna,Sachsen,O
