"SID","YEAR","allMeanSONNE","allMeanREGEN","allMeanTEMP","allMeanSONNE2","allMeanREGEN2","allMeanTEMP2","allMeanSONNEw","allMeanREGENw","allMeanTEMPw","allMeanSONNEw2","allMeanREGENw2","allMeanTEMPw2"
5654,1950,3.36666666666667,0,17.2333333333333,7.4,1.21538461538462,19.6692307692308,8.156,3.998,17.656,7.93414634146342,4.57317073170732,16.909756097561
5664,1980,1.13333333333333,20.5333333333333,12.1666666666667,1.30769230769231,12.3846153846154,13.0769230769231,3.686,6.382,16.57,4.18780487804878,5.55853658536585,17.2560975609756
7420,2008,8.63333333333333,0,16.9666666666667,9.33076923076923,1.97692307692308,18.3615384615385,6.998,1.626,18.518,6.25121951219512,1.67073170731707,18.4195121951219
13674,2010,12.9333333333333,0,21.8333333333333,11.9923076923077,0,22.3615384615385,7.252,2.278,19.886,6.30731707317073,2.77804878048781,19.2512195121951
150,1999,7.9,3.3,18.1333333333333,8.05384615384615,4.7,19.2692307692308,7.928,2.2,19.962,8.02439024390244,1.43414634146341,19.9609756097561
151,1962,6.2,0.766666666666667,11.7333333333333,4.46923076923077,2.48461538461539,10.9153846153846,7.772,1.928,16.294,8.79512195121951,1.61951219512195,17.6365853658537
183,1978,3.43333333333333,7.76666666666667,12.4666666666667,5.03076923076923,4.77692307692308,13.7307692307692,6.344,1.204,15.492,6.62439024390244,0.524390243902439,15.7780487804878
232,1965,9.2,4.2,19.3,8.06923076923077,2.86153846153846,17.3538461538462,6.948,3.02,16.372,6.93658536585366,3.08292682926829,16.4756097560976
259,1966,1.8,3.36666666666667,14.9666666666667,6.57692307692308,5.90769230769231,16.1846153846154,6.796,4.428,16.826,6.5390243902439,3.77317073170732,16.8536585365854
480,1989,7.23333333333333,0.866666666666667,16.8666666666667,6.76923076923077,2,17.8538461538462,6.964,2.634,17.094,7.11707317073171,2.64146341463415,16.8731707317073
502,1975,6.9,0.3,15.8,7.76153846153846,1.96923076923077,16.1461538461538,9.118,2.368,18.174,9.33170731707317,2.28536585365854,18.6243902439024
555,2014,4.78333333333333,6.96666666666667,16.0333333333333,6.66546153846154,3.21538461538462,16.7384615384615,6.362,4.578,18.882,6.13656097560976,5.07317073170732,19.2219512195122
599,1986,14.4666666666667,0,23.0333333333333,10.9692307692308,1.62307692307692,21.8923076923077,7.664,1.372,19.438,7.25365853658537,1.15853658536585,18.9439024390244
685,2004,7.5,0.0666666666666667,16.6666666666667,7.09090909090909,3.91818181818182,15.4727272727273,5.95217391304348,2.78695652173913,17.354347826087,5.74473684210526,2.24473684210526,17.8447368421053
