596,19470101,20150422,15.0,54.0028,11.1908,Boltenhagen,Mecklenburg-Vorpommern,O
598,19490101,19570831,62.0,50.7285,7.0839,Bonn,Nordrhein-Westfalen,W
599,19321001,19990301,62.0,50.7055,7.1467,Bonn-Friesdorf,Nordrhein-Westfalen,W
601,20001101,20031031,158.0,50.6983,7.0356,Bonn-Hardthöhe,Nordrhein-Westfalen,W
603,20000701,20150422,159.0,50.7349,7.1931,Bonn-Roleber,Nordrhein-Westfalen,W
606,19500101,19540731,569.0,48.0791,10.1977,Boos,Bayern,S
614,19510101,20071231,240.0,51.5709,9.312,Borgentreich-Bühne,Nordrhein-Westfalen,W
617,20040601,20150422,48.0,51.8728,6.8862,Borken in Westfalen,Nordrhein-Westfalen,W
619,19470101,20060228,12.0,53.5788,6.6703,Borkum-Süderstraße,Niedersachsen,N
642,19660101,19931031,1.0,53.3517,8.4969,Brake,Niedersachsen,N
643,19931101,19941231,0.0,53.296,8.4529,Brake-Süderfeld,Niedersachsen,N
645,19470101,19520131,58.0,52.4036,7.9724,Bramsche,Niedersachsen,N
648,19630501,20061231,9.0,53.8551,9.7152,Brande-Hörnerkirchen,Schleswig-Holstein,N
650,19480701,20010430,35.0,52.4136,12.5503,Brandenburg-Görden,Brandenburg,O
652,19490101,19580731,384.0,49.5353,10.7706,Hagenbüchach,Bayern,S
656,19360101,20150422,607.0,51.7234,10.6021,Braunlage,Niedersachsen,N
660,19480101,19601231,83.0,52.2744,10.5656,Braunschweig-Gliesmarode,Niedersachsen,N
661,18910101,19531231,75.0,52.2708,10.5334,Braunschweig (T.H.),Niedersachsen,N
662,19610101,20150422,81.0,52.2914,10.4465,Braunschweig,Niedersachsen,N
685,19980112,20061101,585.0,49.9017,9.4281,Breitsol,Bayern,S
691,18900101,20150422,4.0,53.0445,8.7985,Bremen,Bremen,N
699,19490101,19580630,4.0,53.1004,8.7834,Bremen-Seefahrtschule,Bremen,N
701,19490101,20150422,7.0,53.5332,8.5761,Bremerhaven,Bremen,N
702,19480101,19611231,8.0,53.5876,8.6015,Bremerhaven-Speckenbüttel,Bremen,N
703,19370101,19850531,5.0,53.4779,9.1553,Bremervörde (A),Niedersachsen,N
704,19980101,20150422,10.0,53.4451,9.139,Bremervörde,Niedersachsen,N
705,19850601,20061231,5.0,53.5312,9.1664,Bremervörde-Niederochtenhausen,Niedersachsen,N
706,19710501,20041231,234.0,47.8858,7.6611,Eschbach,Baden-Württemberg,S
710,19831101,20031231,181.0,49.025,8.6991,Bretten,Baden-Württemberg,S
